year,minimum_wage,state
1997,5.25,Alaska
1998,5.65,Alaska
1999,5.65,Alaska
2000,5.65,Alaska
2001,5.65,Alaska
2002,5.65,Alaska
2003,7.15,Alaska
2004,7.15,Alaska
2005,7.15,Alaska
2006,7.15,Alaska
2007,7.15,Alaska
2008,7.15,Alaska
2009,7.15,Alaska
2010,7.75,Alaska
2011,7.75,Alaska
2012,7.75,Alaska
2013,7.75,Alaska
2014,7.75,Alaska
2015,8.75,Alaska
2016,9.75,Alaska
2017,9.8,Alaska
2018,9.84,Alaska
2019,9.89,Alaska
2020,10.19,Alaska
2021,10.34,Alaska
2022,10.34,Alaska
2023,10.85,Alaska
1997,4.75,Alabama
1998,5.15,Alabama
1999,5.15,Alabama
2000,5.15,Alabama
2001,5.15,Alabama
2002,5.15,Alabama
2003,5.15,Alabama
2004,5.15,Alabama
2005,5.15,Alabama
2006,5.15,Alabama
2007,5.15,Alabama
2008,5.85,Alabama
2009,6.55,Alabama
2010,7.25,Alabama
2011,7.25,Alabama
2012,7.25,Alabama
2013,7.25,Alabama
2014,7.25,Alabama
2015,7.25,Alabama
2016,7.25,Alabama
2017,7.25,Alabama
2018,7.25,Alabama
2019,7.25,Alabama
2020,7.25,Alabama
2021,7.25,Alabama
2022,7.25,Alabama
2023,7.25,Alabama
1997,4.25,Arkansas
1998,5.15,Arkansas
1999,5.15,Arkansas
2000,5.15,Arkansas
2001,5.15,Arkansas
2002,5.15,Arkansas
2003,5.15,Arkansas
2004,5.15,Arkansas
2005,5.15,Arkansas
2006,5.15,Arkansas
2007,6.25,Arkansas
2008,6.25,Arkansas
2009,6.25,Arkansas
2010,6.25,Arkansas
2011,6.25,Arkansas
2012,6.25,Arkansas
2013,6.25,Arkansas
2014,6.25,Arkansas
2015,7.5,Arkansas
2016,8,Arkansas
2017,8.5,Arkansas
2018,8.5,Arkansas
2019,9.25,Arkansas
2020,10.00,Arkansas
2021,11.00,Arkansas
2022,11.00,Arkansas
2023,11.00,Arkansas
1997,4.75,Arizona
1998,5.15,Arizona
1999,5.15,Arizona
2000,5.15,Arizona
2001,5.15,Arizona
2002,5.15,Arizona
2003,5.15,Arizona
2004,5.15,Arizona
2005,5.15,Arizona
2006,5.15,Arizona
2007,6.75,Arizona
2008,6.9,Arizona
2009,7.25,Arizona
2010,7.25,Arizona
2011,7.35,Arizona
2012,7.65,Arizona
2013,7.8,Arizona
2014,7.9,Arizona
2015,8.05,Arizona
2016,8.05,Arizona
2017,10,Arizona
2018,10.5,Arizona
2019,11,Arizona
2020,12.00,Arizona
2021,12.15,Arizona
2022,12.80,Arizona
2023,13.85,Arizona
1997,4.75,California
1998,5.15,California
1999,5.15,California
2000,5.75,California
2001,6.25,California
2002,6.75,California
2003,6.75,California
2004,6.75,California
2005,6.75,California
2006,6.75,California
2007,7.5,California
2008,8,California
2009,8,California
2010,8,California
2011,8,California
2012,8,California
2013,8,California
2014,9,California
2015,9,California
2016,10,California
2017,10.5,California
2018,11,California
2019,12.00,California
2020,12.00,California
2021,13.00,California
2022,14.00,California
2023,15.50,California
1997,4.75,Colorado
1998,5.15,Colorado
1999,5.15,Colorado
2000,5.15,Colorado
2001,5.15,Colorado
2002,5.15,Colorado
2003,5.15,Colorado
2004,5.15,Colorado
2005,5.15,Colorado
2006,5.15,Colorado
2007,6.85,Colorado
2008,7.02,Colorado
2009,7.28,Colorado
2010,7.24,Colorado
2011,7.36,Colorado
2012,7.64,Colorado
2013,7.78,Colorado
2014,8,Colorado
2015,8.23,Colorado
2016,8.31,Colorado
2017,9.3,Colorado
2018,10.2,Colorado
2019,11.1,Colorado
2020,12.00,Colorado
2021,12.32,Colorado
2022,12.56,Colorado
2023,13.65,Colorado
1997,4.77,Connecticut
1998,5.18,Connecticut
1999,5.18,Connecticut
2000,6.15,Connecticut
2001,6.4,Connecticut
2002,6.7,Connecticut
2003,6.9,Connecticut
2004,7.1,Connecticut
2005,7.1,Connecticut
2006,7.4,Connecticut
2007,7.65,Connecticut
2008,7.65,Connecticut
2009,8,Connecticut
2010,8.25,Connecticut
2011,8.25,Connecticut
2012,8.25,Connecticut
2013,8.25,Connecticut
2014,8.7,Connecticut
2015,9.15,Connecticut
2016,9.6,Connecticut
2017,10.1,Connecticut
2018,10.1,Connecticut
2019,11.00,Connecticut
2020,12.00,Connecticut
2021,13.00,Connecticut
2022,14.00,Connecticut
2023,14.00,Connecticut
1997,5.75,District of Columbia
1998,6.15,District of Columbia
1999,6.15,District of Columbia
2000,6.15,District of Columbia
2001,6.15,District of Columbia
2002,6.15,District of Columbia
2003,6.15,District of Columbia
2004,6.15,District of Columbia
2005,6.6,District of Columbia
2006,7,District of Columbia
2007,7,District of Columbia
2008,7,District of Columbia
2009,7.55,District of Columbia
2010,8.25,District of Columbia
2011,8.25,District of Columbia
2012,8.25,District of Columbia
2013,8.25,District of Columbia
2014,9.5,District of Columbia
2015,10.5,District of Columbia
2016,11.5,District of Columbia
2017,12.5,District of Columbia
2018,13.25,District of Columbia
2019,14.00,District of Columbia
2020,15.00,District of Columbia
2021,15.20,District of Columbia
2022,16.10,District of Columbia
2023,16.50,District of Columbia
1997,5,Delaware
1998,5.15,Delaware
1999,5.15,Delaware
2000,5.65,Delaware
2001,6.15,Delaware
2002,6.15,Delaware
2003,6.15,Delaware
2004,6.15,Delaware
2005,6.15,Delaware
2006,6.15,Delaware
2007,6.65,Delaware
2008,7.15,Delaware
2009,7.15,Delaware
2010,7.25,Delaware
2011,7.25,Delaware
2012,7.25,Delaware
2013,7.25,Delaware
2014,7.75,Delaware
2015,8.25,Delaware
2016,8.25,Delaware
2017,8.25,Delaware
2018,8.25,Delaware
2019,9.25,Delaware
2020,9.25,Delaware
2021,9.25,Delaware
2022,10.50,Delaware
2023,11.75,Delaware
1997,4.75,Florida
1998,5.15,Florida
1999,5.15,Florida
2000,5.15,Florida
2001,5.15,Florida
2002,5.15,Florida
2003,5.15,Florida
2004,5.15,Florida
2005,5.15,Florida
2006,6.4,Florida
2007,6.67,Florida
2008,6.79,Florida
2009,7.21,Florida
2010,7.25,Florida
2011,7.25,Florida
2012,7.67,Florida
2013,7.79,Florida
2014,7.93,Florida
2015,8.05,Florida
2016,8.05,Florida
2017,8.10,Florida
2018,8.25,Florida
2019,8.46,Florida
2020,8.56,Florida
2021,10.00,Florida
2022,10.00,Florida
2023,11.00,Florida
1997,3.25,Georgia
1998,3.25,Georgia
1999,3.25,Georgia
2000,3.25,Georgia
2001,3.25,Georgia
2002,5.15,Georgia
2003,5.15,Georgia
2004,5.15,Georgia
2005,5.15,Georgia
2006,5.15,Georgia
2007,5.15,Georgia
2008,5.15,Georgia
2009,5.15,Georgia
2010,5.15,Georgia
2011,5.15,Georgia
2012,5.15,Georgia
2013,5.15,Georgia
2014,5.15,Georgia
2015,5.15,Georgia
2016,5.15,Georgia
2017,5.15,Georgia
2018,5.15,Georgia
2019,7.25,Georgia
2020,7.25,Georgia
2021,7.25,Georgia
2022,7.25,Georgia
2023,7.25,Georgia
1997,5.25,Hawaii
1998,5.25,Hawaii
1999,5.25,Hawaii
2000,5.25,Hawaii
2001,5.25,Hawaii
2002,5.75,Hawaii
2003,6.25,Hawaii
2004,6.25,Hawaii
2005,6.25,Hawaii
2006,6.75,Hawaii
2007,7.25,Hawaii
2008,7.25,Hawaii
2009,7.25,Hawaii
2010,7.25,Hawaii
2011,7.25,Hawaii
2012,7.25,Hawaii
2013,7.25,Hawaii
2014,7.25,Hawaii
2015,7.75,Hawaii
2016,8.5,Hawaii
2017,9.25,Hawaii
2018,10.1,Hawaii
2019,10.1,Hawaii
2020,10.10,Hawaii
2021,10.10,Hawaii
2022,12.00,Hawaii
2023,12.00,Hawaii
1997,4.75,Iowa
1998,5.15,Iowa
1999,5.15,Iowa
2000,5.15,Iowa
2001,5.15,Iowa
2002,5.15,Iowa
2003,5.15,Iowa
2004,5.15,Iowa
2005,5.15,Iowa
2006,5.15,Iowa
2007,5.15,Iowa
2008,7.25,Iowa
2009,7.25,Iowa
2010,7.25,Iowa
2011,7.25,Iowa
2012,7.25,Iowa
2013,7.25,Iowa
2014,7.25,Iowa
2015,7.25,Iowa
2016,7.25,Iowa
2017,7.25,Iowa
2018,7.25,Iowa
2019,7.25,Iowa
2020,7.25,Iowa
2021,7.25,Iowa
2022,7.25,Iowa
2023,7.25,Iowa
1997,4.25,Idaho
1998,5.15,Idaho
1999,5.15,Idaho
2000,5.15,Idaho
2001,5.15,Idaho
2002,5.15,Idaho
2003,5.15,Idaho
2004,5.15,Idaho
2005,5.15,Idaho
2006,5.15,Idaho
2007,5.15,Idaho
2008,5.85,Idaho
2009,6.55,Idaho
2010,7.25,Idaho
2011,7.25,Idaho
2012,7.25,Idaho
2013,7.25,Idaho
2014,7.25,Idaho
2015,7.25,Idaho
2016,7.25,Idaho
2017,7.25,Idaho
2018,7.25,Idaho
2019,7.25,Idaho
2020,7.25,Idaho
2021,7.25,Idaho
2022,7.25,Idaho
2023,7.25,Idaho
1997,4.75,Illinois
1998,5.15,Illinois
1999,5.15,Illinois
2000,5.15,Illinois
2001,5.15,Illinois
2002,5.15,Illinois
2003,5.15,Illinois
2004,5.5,Illinois
2005,6.5,Illinois
2006,6.5,Illinois
2007,6.5,Illinois
2008,7.5,Illinois
2009,7.75,Illinois
2010,8,Illinois
2011,8.25,Illinois
2012,8.25,Illinois
2013,8.25,Illinois
2014,8.25,Illinois
2015,8.25,Illinois
2016,8.25,Illinois
2017,8.25,Illinois
2018,8.25,Illinois
2019,8.25,Illinois
2020,10.00,Illinois
2021,11.00,Illinois
2022,12.00,Illinois
2023,13.00,Illinois
1997,3.35,Indiana
1998,3.35,Indiana
1999,3.35,Indiana
2000,5.15,Indiana
2001,5.15,Indiana
2002,5.15,Indiana
2003,5.15,Indiana
2004,5.15,Indiana
2005,5.15,Indiana
2006,5.15,Indiana
2007,5.15,Indiana
2008,5.85,Indiana
2009,6.55,Indiana
2010,7.25,Indiana
2011,7.25,Indiana
2012,7.25,Indiana
2013,7.25,Indiana
2014,7.25,Indiana
2015,7.25,Indiana
2016,7.25,Indiana
2017,7.25,Indiana
2018,7.25,Indiana
2019,7.25,Indiana
2020,7.25,Indiana
2021,7.25,Indiana
2022,7.25,Indiana
2023,7.25,Indiana
1997,2.65,Kansas
1998,2.65,Kansas
1999,2.65,Kansas
2000,2.65,Kansas
2001,2.65,Kansas
2002,2.65,Kansas
2003,2.65,Kansas
2004,2.65,Kansas
2005,2.65,Kansas
2006,2.65,Kansas
2007,2.65,Kansas
2008,2.65,Kansas
2009,2.65,Kansas
2010,7.25,Kansas
2011,7.25,Kansas
2012,7.25,Kansas
2013,7.25,Kansas
2014,7.25,Kansas
2015,7.25,Kansas
2016,7.25,Kansas
2017,7.25,Kansas
2018,7.25,Kansas
2019,7.25,Kansas
2020,7.25,Kansas
2021,7.25,Kansas
2022,7.25,Kansas
2023,7.25,Kansas
1997,4.25,Kentucky
1998,4.25,Kentucky
1999,4.25,Kentucky
2000,5.15,Kentucky
2001,5.15,Kentucky
2002,5.15,Kentucky
2003,5.15,Kentucky
2004,5.15,Kentucky
2005,5.15,Kentucky
2006,5.15,Kentucky
2007,5.15,Kentucky
2008,5.85,Kentucky
2009,6.55,Kentucky
2010,7.25,Kentucky
2011,7.25,Kentucky
2012,7.25,Kentucky
2013,7.25,Kentucky
2014,7.25,Kentucky
2015,7.25,Kentucky
2016,7.25,Kentucky
2017,7.25,Kentucky
2018,7.25,Kentucky
2019,7.25,Kentucky
2020,7.25,Kentucky
2021,7.25,Kentucky
2022,7.25,Kentucky
2023,7.25,Kentucky
1997,4.75,Louisiana
1998,5.15,Louisiana
1999,5.15,Louisiana
2000,5.15,Louisiana
2001,5.15,Louisiana
2002,5.15,Louisiana
2003,5.15,Louisiana
2004,5.15,Louisiana
2005,5.15,Louisiana
2006,5.15,Louisiana
2007,5.15,Louisiana
2008,5.85,Louisiana
2009,6.55,Louisiana
2010,7.25,Louisiana
2011,7.25,Louisiana
2012,7.25,Louisiana
2013,7.25,Louisiana
2014,7.25,Louisiana
2015,7.25,Louisiana
2016,7.25,Louisiana
2017,7.25,Louisiana
2018,7.25,Louisiana
2019,7.25,Louisiana
2020,7.25,Louisiana
2021,7.25,Louisiana
2022,7.25,Louisiana
2023,7.25,Louisiana
1997,5.25,Massachusetts
1998,5.25,Massachusetts
1999,5.25,Massachusetts
2000,6,Massachusetts
2001,6.75,Massachusetts
2002,6.75,Massachusetts
2003,6.75,Massachusetts
2004,6.75,Massachusetts
2005,6.75,Massachusetts
2006,6.75,Massachusetts
2007,7.5,Massachusetts
2008,8,Massachusetts
2009,8,Massachusetts
2010,8,Massachusetts
2011,8,Massachusetts
2012,8,Massachusetts
2013,8,Massachusetts
2014,8,Massachusetts
2015,9,Massachusetts
2016,10,Massachusetts
2017,11,Massachusetts
2018,11,Massachusetts
2019,12,Massachusetts
2020,12.75,Massachusetts
2021,13.50,Massachusetts
2022,14.25,Massachusetts
2023,15.00,Massachusetts
1997,4.75,Maryland
1998,5.15,Maryland
1999,5.15,Maryland
2000,5.15,Maryland
2001,5.15,Maryland
2002,5.15,Maryland
2003,5.15,Maryland
2004,5.15,Maryland
2005,5.15,Maryland
2006,5.15,Maryland
2007,6.15,Maryland
2008,6.15,Maryland
2009,6.55,Maryland
2010,7.25,Maryland
2011,7.25,Maryland
2012,7.25,Maryland
2013,7.25,Maryland
2014,7.25,Maryland
2015,8.25,Maryland
2016,8.75,Maryland
2017,9.25,Maryland
2018,10.1,Maryland
2019,10.1,Maryland
2020,11.00,Maryland
2021,11.75,Maryland
2022,12.50,Maryland
2023,13.25,Maryland
1997,4.75,Maine
1998,5.15,Maine
1999,5.15,Maine
2000,5.15,Maine
2001,5.15,Maine
2002,5.75,Maine
2003,6.25,Maine
2004,6.25,Maine
2005,6.35,Maine
2006,6.5,Maine
2007,6.75,Maine
2008,7,Maine
2009,7.25,Maine
2010,7.5,Maine
2011,7.5,Maine
2012,7.5,Maine
2013,7.5,Maine
2014,7.5,Maine
2015,7.5,Maine
2016,7.5,Maine
2017,9,Maine
2018,10,Maine
2019,11,Maine
2020,12.00,Maine
2021,12.15,Maine
2022,12.75,Maine
2023,13.80,Maine
1997,3.35,Michigan
1998,5.15,Michigan
1999,5.15,Michigan
2000,5.15,Michigan
2001,5.15,Michigan
2002,5.15,Michigan
2003,5.15,Michigan
2004,5.15,Michigan
2005,5.15,Michigan
2006,5.15,Michigan
2007,6.95,Michigan
2008,7.15,Michigan
2009,7.4,Michigan
2010,7.4,Michigan
2011,7.4,Michigan
2012,7.4,Michigan
2013,7.4,Michigan
2014,8.15,Michigan
2015,8.15,Michigan
2016,8.5,Michigan
2017,8.9,Michigan
2018,9.25,Michigan
2019,9.45,Michigan
2020,9.65,Michigan
2021,9.65,Michigan
2022,9.87,Michigan
2023,10.10,Michigan
1997,4.25,Minnesota
1998,5.15,Minnesota
1999,5.15,Minnesota
2000,5.15,Minnesota
2001,5.15,Minnesota
2002,5.15,Minnesota
2003,5.15,Minnesota
2004,5.15,Minnesota
2005,5.15,Minnesota
2006,6.15,Minnesota
2007,6.16,Minnesota
2008,6.16,Minnesota
2009,6.16,Minnesota
2010,6.16,Minnesota
2011,6.16,Minnesota
2012,6.16,Minnesota
2013,6.15,Minnesota
2014,8,Minnesota
2015,9,Minnesota
2016,9.5,Minnesota
2017,9.5,Minnesota
2018,9.65,Minnesota
2019,9.86,Minnesota
2020,10.00,Minnesota
2021,10.08,Minnesota
2022,10.33,Minnesota
2023,10.59,Minnesota
1997,4.75,Missouri
1998,5.15,Missouri
1999,5.15,Missouri
2000,5.15,Missouri
2001,5.15,Missouri
2002,5.15,Missouri
2003,5.15,Missouri
2004,5.15,Missouri
2005,5.15,Missouri
2006,5.15,Missouri
2007,6.5,Missouri
2008,6.65,Missouri
2009,7.05,Missouri
2010,7.25,Missouri
2011,7.25,Missouri
2012,7.25,Missouri
2013,7.35,Missouri
2014,7.5,Missouri
2015,7.65,Missouri
2016,7.65,Missouri
2017,7.70,Missouri
2018,7.85,Missouri
2019,8.6,Missouri
2020,9.45,Missouri
2021,10.30,Missouri
2022,11.15,Missouri
2023,12.00,Missouri
1997,4.75,Mississippi
1998,5.15,Mississippi
1999,5.15,Mississippi
2000,5.15,Mississippi
2001,5.15,Mississippi
2002,5.15,Mississippi
2003,5.15,Mississippi
2004,5.15,Mississippi
2005,5.15,Mississippi
2006,5.15,Mississippi
2007,5.15,Mississippi
2008,5.85,Mississippi
2009,6.55,Mississippi
2010,7.25,Mississippi
2011,7.25,Mississippi
2012,7.25,Mississippi
2013,7.25,Mississippi
2014,7.25,Mississippi
2015,7.25,Mississippi
2016,7.25,Mississippi
2017,7.25,Mississippi
2018,7.25,Mississippi
2019,7.25,Mississippi
2020,7.25,Mississippi
2021,7.25,Mississippi
2022,7.25,Mississippi
2023,7.25,Mississippi
1997,4.75,Montana
